x,y,z,v
8,135,196,0.0678
8,138,162,0.2841
8,142,90,0.06
8,144,114,0.0524
8,144,154,0.2978
8,145,198,0.1128
8,152,193,0.0426
8,154,157,0.0699
8,162,51,0.2878
8,169,39,0.0671
8,182,177,0.0763
8,193,131,0.0684
8,196,122,0.2999
9,2,42,0.0541
9,3,11,0.0365
9,8,185,0.0795
9,11,71,0.2425
9,11,157,0.2115
9,18,49,0.0597
9,22,89,0.0776
9,23,172,0.067
9,29,197,0.0799
9,53,180,0.2599
9,58,142,0.2704
9,59,86,0.0685
9,60,112,0.0554
9,69,142,0.0882
9,74,188,0.2694
9,80,19,0.0864
9,80,190,0.1045
9,86,17,0.2655
9,97,29,0.0436
9,120,142,0.0687
9,126,96,0.3053
9,139,47,0.0725
9,139,116,0.0801
9,141,168,0.2778
9,148,149,0.0864
9,157,126,0.2477
9,159,172,0.2665
9,164,15,0.2623
9,178,151,0.095
9,181,90,0.2766
9,184,56,0.2702
9,194,151,0.2642
9,197,129,0.2844
10,9,117,0.0629
10,28,156,0.2746
10,29,64,0.0661
10,33,76,0.238
10,40,142,0.0684
10,41,191,0.2704
10,44,198,0.0397
10,46,192,0.2954
10,51,149,0.0591
10,54,75,0.2825
10,54,178,0.1217
10,56,140,0.0433
10,58,10,0.0537
10,58,136,0.1197
10,61,190,0.0443
10,62,135,0.2815
10,72,149,0.0731
10,73,19,0.0857
10,82,113,0.0747
10,107,20,0.2987
10,107,77,0.045
10,108,27,0.0524
10,112,87,0.2593
10,115,90,0.2582
10,116,158,0.2978
10,117,189,0.0961
10,121,47,0.0729
10,122,199,0.2532
10,123,53,0.2326
10,123,185,0.2488
10,127,117,0.0524
10,139,9,0.2381
10,139,73,0.2686
10,142,128,0.2381
10,155,165,0.0368
10,178,159,0.0588
10,191,65,0.2877
10,191,109,0.0739
10,194,144,0.2155
10,195,14,0.0656
11,14,152,0.0617
11,18,176,0.3126
11,19,179,0.0533
11,32,168,0.2885
11,41,125,0.3132
11,46,71,0.0625
11,48,34,0.0756
11,54,185,0.2747
11,58,41,0.0798
11,63,166,0.2918
11,65,182,0.054
11,92,94,0.0528
11,96,56,0.2816
11,98,46,0.1078
11,102,79,0.2553
11,106,110,0.2667
11,107,137,0.0628
11,108,77,0.2376
11,117,199,0.2731
11,126,133,0.2817
11,141,60,0.2812
11,148,140,0.252
11,148,197,0.0822
11,164,45,0.2972
11,166,88,0.0455
11,174,124,0.3105
11,176,143,0.086
11,187,124,0.053
11,189,174,0.0559
11,193,187,0.0911
11,194,58,0.0844
11,195,133,0.0706
11,197,143,0.0699
12,1,171,0.2898
12,4,95,0.0835
12,13,132,0.045
12,14,145,0.0678
12,16,157,0.2957
12,17,161,0.2427
12,18,84,0.29
12,22,46,0.0512
12,27,17,0.0436
12,29,190,0.2651
12,30,78,0.0384
12,31,123,0.2762
12,43,161,0.1021
12,44,70,0.0633
12,47,74,0.0954
12,51,119,0.255
12,56,84,0.0746
12,67,20,0.2483
12,68,157,0.0485
12,76,67,0.0756
12,80,17,0.2659
12,93,23,0.0608
12,108,25,0.0562
12,112,92,0.0573
12,115,158,0.2832
12,118,42,0.3082
12,134,0,0.2681
12,134,138,0.0795
12,137,29,0.0769
12,138,99,0.0749
12,144,131,0.3068
12,144,176,0.0815
12,145,105,0.073
12,149,176,0.0775
12,164,107,0.3049
12,172,37,0.2814
12,172,134,0.2759
12,175,141,0.0921
12,178,59,0.0481
12,179,56,0.2872
12,194,39,0.0623
13,2,162,0.2891
13,9,142,0.2843
13,17,148,0.046
13,18,128,0.2873
13,24,53,0.3129
13,24,156,0.2812
13,26,54,0.2711
13,29,5,0.2773
13,30,183,0.0688
13,35,97,0.0641
13,42,26,0.0918
13,55,16,0.0782
13,62,96,0.0917
13,63,123,0.0486
13,72,10,0.2819
13,73,18,0.1064
13,77,105,0.2447
13,80,174,0.0541
13,81,106,0.0676
13,88,157,0.0818
13,88,192,0.0686
13,98,187,0.0629
13,99,123,0.2913
13,104,188,0.2701
13,108,80,0.0633
13,109,113,0.0478
13,111,140,0.3019
13,122,158,0.1101
13,130,57,0.0894
13,132,25,0.108
13,135,197,0.0533
13,143,18,0.2819
13,143,28,0.2594
13,147,72,0.0749
13,153,98,0.0795
13,161,51,0.0688
13,163,144,0.0863
13,166,133,0.0594
13,175,90,0.2808
13,188,49,0.0639
13,190,0,0.2689
13,190,26,0.0762
13,193,176,0.0451
13,197,115,0.2628
14,6,38,0.0369
14,7,116,0.2553
14,9,33,0.0372
14,11,80,0.0635
14,20,52,0.0756
14,20,53,0.0633
14,22,66,0.2984
14,26,142,0.0971
14,29,19,0.2763
14,31,181,0.0661
14,48,122,0.2918
14,50,0,0.0564
14,50,122,0.0527
14,53,18,0.2733
14,60,22,0.2186
14,62,142,0.0853
14,70,118,0.2489
14,71,166,0.2758
14,75,51,0.0589
14,78,180,0.0544
14,79,82,0.2875
14,80,84,0.0499
14,87,86,0.1045
14,91,127,0.2746
14,111,82,0.0559
14,121,108,0.0518
14,124,65,0.2909
14,126,91,0.0633
14,131,113,0.2412
14,137,74,0.0319
14,138,123,0.2655
14,140,41,0.2628
14,146,147,0.0734
14,151,194,0.0643
14,152,117,0.0703
14,158,103,0.0634
14,165,95,0.0926
14,168,15,0.2658
14,185,24,0.0662
14,186,7,0.0881
14,192,126,0.0824
14,193,170,0.0746
14,198,24,0.0523
14,199,48,0.0485
15,2,138,0.23
15,11,115,0.2126
15,18,95,0.2452
15,35,195,0.0912
15,38,30,0.0751
15,39,146,0.2581
15,47,117,0.2747
15,48,188,0.0704
15,49,143,0.0591
15,53,52,0.2922
15,56,144,0.0651
15,73,81,0.0915
15,73,116,0.265
15,98,122,0.0453
15,104,122,0.0456
15,105,113,0.2551
15,109,115,0.0541
15,112,20,0.0442
15,112,25,0.0537
15,112,48,0.0519
15,112,67,0.0525
15,125,15,0.0503
15,130,182,0.2301
15,133,133,0.2655
15,135,145,0.2379
15,136,20,0.2587
15,139,149,0.261
15,147,82,0.2269
15,149,36,0.2444
15,168,142,0.0997
15,177,156,0.0548
15,190,29,0.2439
16,1,102,0.2361
16,10,100,0.2328
16,10,124,0.0685
16,20,120,0.2449
16,24,139,0.0633
16,25,138,0.053
16,28,135,0.0656
16,38,73,0.0609
16,46,7,0.2621
16,46,50,0.0451
16,49,63,0.2226
16,49,162,0.2258
16,55,12,0.0883
16,56,54,0.0665
16,60,170,0.2323
16,62,150,0.036
16,65,195,0.24
16,71,142,0.0718
16,71,187,0.053
16,88,42,0.0629
16,101,184,0.0801
16,118,36,0.2152
16,125,67,0.2576
16,126,34,0.2528
16,127,10,0.0521
16,129,4,0.0527
16,139,42,0.1011
16,150,20,0.2258
16,182,178,0.0352
16,184,4,0.1122
16,194,156,0.0346
16,196,15,0.0825
17,4,180,0.1049
17,15,4,0.0537
17,16,176,0.0474
17,23,187,0.0758
17,24,41,0.0447
17,27,167,0.0524
17,32,44,0.2336
17,39,6,0.0598
17,43,8,0.0548
17,48,132,0.231
17,51,29,0.2673
17,57,94,0.0891
17,72,74,0.252
17,78,6,0.0956
17,78,95,0.2777
17,89,84,0.2516
17,92,126,0.0535
17,93,161,0.2497
17,99,194,0.054
17,101,169,0.2655
17,102,65,0.0658
17,105,197,0.2427
17,106,15,0.0516
17,109,146,0.0635
17,128,24,0.2353
17,130,16,0.0607
17,141,43,0.0427
17,142,81,0.0429
17,147,135,0.0755
17,159,33,0.0518
17,160,177,0.0487
17,167,49,0.2313
17,169,15,0.2169
17,174,69,0.0451
17,183,63,0.0757
17,186,119,0.1062
17,192,143,0.0708
17,193,91,0.0793
17,194,59,0.0596
17,197,177,0.2947
17,198,68,0.2388
17,199,119,0.2129
17,199,149,0.2302
18,12,35,0.2329
18,12,111,0.0652
18,14,45,0.2711
18,15,99,0.0531
18,25,110,0.209
18,29,23,0.0823
18,31,7,0.106
18,31,158,0.1061
18,37,110,0.2807
18,40,181,0.2582
18,43,199,0.2628
18,44,46,0.0712
18,47,116,0.2829
18,57,173,0.2678
18,59,11,0.0635
18,62,112,0.2273
18,64,194,0.2302
18,67,180,0.0591
18,78,124,0.0983
18,79,149,0.0472
18,87,118,0.0551
18,102,151,0.2366
18,105,136,0.2213
18,125,93,0.2423
18,137,101,0.2128
18,137,160,0.0645
18,139,24,0.0359
18,149,33,0.2165
18,149,118,0.2322
18,152,188,0.0948
18,154,139,0.0736
18,157,60,0.0726
18,159,25,0.0481
18,161,166,0.0528
18,166,116,0.2365
18,169,166,0.2412
18,177,9,0.0651
18,183,147,0.1159
18,186,147,0.0831
18,190,88,0.2445
18,191,193,0.2432
18,193,161,0.2408
18,198,25,0.2102
19,0,56,0.2256
19,7,16,0.2342
19,10,192,0.2528
19,12,45,0.0877
19,14,122,0.2061
19,15,69,0.2175
19,16,181,0.0444
19,19,17,0.217
19,20,1,0.0522
19,21,113,0.2199
19,23,175,0.049
19,24,13,0.0509
19,25,137,0.0518
19,25,188,0.0427
19,32,13,0.17
19,34,126,0.2212
19,36,69,0.0959
19,48,87,0.2155
19,48,183,0.1731
19,55,51,0.1713
19,55,91,0.2106
19,56,2,0.1835
19,63,140,0.0486
19,66,11,0.0626
19,67,151,0.101
19,75,102,0.2654
19,77,199,0.2026
19,79,136,0.0494
19,96,120,0.0425
19,98,50,0.0455
19,101,87,0.238
19,104,31,0.2232
19,119,134,0.0784
19,122,172,0.0821
19,134,164,0.2466
19,138,91,0.266
19,141,126,0.0794
19,158,85,0.0805
19,158,125,0.212
19,158,141,0.2038
19,162,169,0.0519
19,165,80,0.0591
19,165,183,0.1036
19,166,100,0.0578
19,170,85,0.0839
19,180,169,0.2022
19,180,187,0.0529
19,184,69,0.0321
19,186,17,0.0632
19,190,119,0.1107
19,192,11,0.0944
19,198,19,0.2008
20,4,11,0.0447
20,7,117,0.0421
20,12,12,0.0466
20,30,56,0.202
20,31,53,0.2653
20,33,125,0.2898
20,37,73,0.0804
20,37,143,0.2112
20,50,122,0.2513
20,56,117,0.0628
20,57,19,0.2415
20,67,138,0.2464
20,68,43,0.2417
20,70,70,0.06
20,72,157,0.0763
20,77,0,0.258
20,78,104,0.0802
20,83,69,0.271
20,104,113,0.0709
20,108,196,0.0765
20,127,136,0.0449
20,133,22,0.2658
20,133,175,0.2462
20,143,81,0.2246
20,153,26,0.2112
20,154,40,0.226
20,186,132,0.2798
20,186,153,0.0527
20,194,187,0.0592
20,196,15,0.0502
20,197,123,0.0594
21,12,20,0.0406
21,16,193,0.0515
21,18,42,0.2688
21,18,197,0.2831
21,28,83,0.1132
21,28,142,0.2899
21,29,38,0.2692
21,29,84,0.2853
21,36,100,0.2515
21,37,181,0.2575
21,41,9,0.1044
21,46,124,0.0726
21,55,152,0.2551
21,59,90,0.0528
21,66,22,0.0859
21,67,51,0.0829
21,83,193,0.0607
21,104,22,0.082
21,109,6,0.2448
21,113,167,0.0495
21,115,190,0.0525
21,115,198,0.0514
21,117,136,0.1867
21,119,68,0.0608
21,122,46,0.0525
21,122,91,0.0526
21,127,179,0.0502
21,130,96,0.0526
21,138,25,0.0764
21,138,31,0.2728
21,139,61,0.0393
21,145,37,0.0301
21,148,16,0.2464
21,169,1,0.078
21,172,24,0.0754
21,178,29,0.0582
21,184,46,0.0538
21,185,101,0.0828
21,195,64,0.277
21,198,58,0.2836
21,199,77,0.2689
22,11,185,0.0723
22,12,25,0.0823
22,14,21,0.2641
22,29,50,0.2448
22,29,135,0.0593
22,43,173,0.2586
22,49,94,0.0929
22,49,100,0.0518
22,52,150,0.2696
22,59,47,0.2166
22,61,24,0.2663
22,79,163,0.0769
22,90,159,0.0473
22,101,92,0.2555
22,113,133,0.2597
22,131,93,0.1144
22,131,106,0.0676
22,141,113,0.2741
22,142,155,0.2605
22,148,160,0.0616
22,152,104,0.0751
22,167,179,0.266
22,170,93,0.0688
22,171,126,0.2696
22,183,188,0.0598
22,184,195,0.0524
22,186,164,0.0802
22,188,64,0.0767
22,194,86,0.0813
23,9,69,0.0523
23,25,115,0.2266
23,42,112,0.2974
23,44,90,0.0246
23,45,154,0.2334
23,50,182,0.2492
23,54,12,0.2728
23,58,64,0.214
23,66,106,0.0665
23,69,157,0.1062
23,69,168,0.2981
23,86,83,0.2954
23,88,188,0.2644
23,89,145,0.2732
23,94,6,0.0773
23,100,2,0.0622
23,101,182,0.0645
23,108,47,0.0663
23,113,11,0.0666
23,115,170,0.0706
23,118,158,0.0552
23,119,74,0.2698
23,122,56,0.2876
23,126,142,0.2665
23,126,190,0.2489
23,131,106,0.2698
23,144,79,0.0799
23,146,140,0.0696
23,152,79,0.2315
23,153,77,0.22
23,172,190,0.0464
23,179,89,0.0358
23,180,157,0.2127
24,0,126,0.2732
24,4,195,0.2302
24,7,115,0.223
24,9,81,0.244
24,12,36,0.2415
24,12,93,0.2417
24,23,121,0.0605
24,26,86,0.0781
24,27,34,0.0617
24,30,150,0.0805
24,33,155,0.0736
24,33,187,0.0919
24,51,10,0.0428
24,54,74,0.2953
24,74,33,0.0809
24,74,44,0.0673
24,90,4,0.0883
24,99,116,0.0724
24,101,3,0.249
24,121,73,0.0476
24,125,97,0.216
24,129,139,0.1902
24,134,155,0.0319
24,149,83,0.1999
24,155,56,0.2741
24,155,131,0.2168
24,158,152,0.2365
24,163,172,0.0677
24,175,184,0.0586
24,180,3,0.0649
24,180,100,0.259
24,180,158,0.0816
24,185,97,0.2814
24,190,126,0.0663
24,193,28,0.0726
24,193,102,0.2555
25,17,154,0.0525
25,21,68,0.1101
25,22,128,0.1062
25,22,181,0.0664
25,24,50,0.2881
25,28,2,0.3054
25,37,198,0.0683
25,41,96,0.2359
25,43,184,0.2718
25,44,161,0.0375
25,46,25,0.1035
25,53,24,0.03
25,55,14,0.2631
25,56,56,0.0523
25,57,75,0.2762
25,65,195,0.2069
25,82,168,0.2392
25,83,134,0.0708
25,84,50,0.0723
25,85,79,0.1996
25,87,9,0.0491
25,105,186,0.2516
25,111,29,0.1063
25,113,76,0.0985
25,113,91,0.2759
25,137,162,0.2782
25,139,49,0.2739
25,141,42,0.2666
25,141,53,0.284
25,145,140,0.0737
25,149,109,0.0637
25,153,21,0.267
25,168,184,0.0844
25,170,167,0.2613
25,171,142,0.2643
25,177,45,0.0833
25,178,109,0.2658
25,192,71,0.0956
25,197,88,0.0789
26,6,67,0.2156
26,8,166,0.237
26,17,54,0.0356
26,20,90,0.0444
26,29,161,0.1019
26,30,177,0.1932
26,47,84,0.0322
26,56,101,0.2357
26,57,136,0.2437
26,58,11,0.0485
26,60,69,0.0836
26,60,118,0.0498
26,60,173,0.2272
26,60,185,0.2146
26,68,135,0.1001
26,69,8,0.0733
26,74,5,0.2574
26,76,137,0.2252
26,77,32,0.2658
26,83,173,0.2677
26,85,32,0.28
26,86,190,0.2702
26,91,186,0.0827
26,97,171,0.0707
26,103,49,0.2709
26,114,113,0.2729
26,125,188,0.0569
26,131,134,0.1016
26,152,0,0.2444
26,157,169,0.2226
26,159,183,0.052
26,160,184,0.0429
26,161,103,0.2326
26,169,142,0.046
26,170,195,0.0559
26,174,86,0.2203
27,0,172,0.0404
27,4,151,0.2357
27,11,119,0.2218
27,16,100,0.0737
27,16,143,0.2089
27,19,13,0.2526
27,20,35,0.103
27,20,155,0.0866
27,21,172,0.2536
27,30,74,0.1056
27,31,54,0.2511
27,31,192,0.0743
27,37,113,0.2358
27,48,54,0.2528
27,52,1,0.2808
27,56,62,0.2696
27,57,14,0.2612
27,59,157,0.2373
27,62,158,0.0521
27,69,199,0.0717
27,72,50,0.0549
27,78,114,0.0721
27,83,56,0.0644
27,83,109,0.2558
27,91,61,0.0598
27,96,89,0.0635
27,98,11,0.0653
27,101,107,0.0498
27,104,80,0.2281
27,122,9,0.2367
27,132,144,0.0553
27,136,9,0.2352
27,143,139,0.0289
27,143,153,0.0523
27,143,166,0.0634
27,150,160,0.2703
27,151,69,0.2152
27,151,181,0.2371
27,152,174,0.2156
27,174,146,0.2116
27,175,0,0.2371
27,179,87,0.1228
27,186,5,0.0823
27,187,56,0.0776
27,189,186,0.2704
27,191,149,0.0662
27,196,56,0.0987
28,2,84,0.2422
28,9,10,0.0652
28,9,76,0.2608
28,20,179,0.2492
28,26,131,0.0482
28,42,41,0.2656
28,52,133,0.0627
28,63,65,0.0695
28,64,103,0.2512
28,65,177,0.0502
28,68,160,0.0363
28,70,99,0.237
28,70,173,0.2719
28,73,36,0.2626
28,73,172,0.2526
28,82,157,0.115
28,82,195,0.2154
28,83,20,0.0422
28,84,172,0.0518
28,92,155,0.2607
28,93,173,0.0508
28,105,121,0.1822
28,114,96,0.2021
28,115,164,0.0778
28,116,50,0.213
28,118,43,0.24
28,120,91,0.0718
28,121,11,0.0715
28,127,37,0.0979
28,130,157,0.217
28,132,92,0.275
28,133,148,0.0764
28,134,145,0.2811
28,135,20,0.1123
28,135,100,0.2831
28,136,3,0.0683
28,138,179,0.106
28,153,19,0.0879
28,163,122,0.248
28,165,90,0.0504
28,173,24,0.2415
28,178,189,0.0569
28,185,10,0.0516
28,188,176,0.2573
28,192,140,0.0798
28,194,21,0.2364
29,4,30,0.0592
29,6,186,0.0532
29,10,15,0.0423
29,11,94,0.065
29,18,117,0.1079
29,25,42,0.2303
29,28,172,0.0636
29,30,176,0.279
29,31,158,0.0426
29,33,163,0.0506
29,34,195,0.0539
29,36,156,0.071
29,38,30,0.0532
29,68,198,0.2433
29,80,185,0.0751
29,104,8,0.0511
29,104,94,0.2814
29,104,197,0.2732
29,110,28,0.2367
29,118,47,0.2656
29,118,94,0.2933
29,119,65,0.0895
29,120,44,0.0778
29,137,53,0.2648
29,140,111,0.0838
29,141,41,0.0922
29,141,173,0.0558
29,142,61,0.1008
29,142,86,0.2788
29,142,97,0.0484
29,143,49,0.0536
29,143,69,0.2331
29,146,105,0.29
29,151,159,0.0847
29,153,102,0.2438
29,159,8,0.2354
29,160,39,0.0669
29,162,54,0.2821
29,168,34,0.0361
29,174,166,0.239
29,177,147,0.049
29,182,189,0.0544
29,188,4,0.2829
29,190,58,0.0594
29,193,180,0.2573
29,195,9,0.0685
29,195,66,0.2429
30,5,19,0.0951
30,16,50,0.2199
30,25,106,0.0856
30,28,15,0.2337
30,31,73,0.1233
30,33,6,0.0823
30,35,10,0.1027
30,35,26,0.0734
30,42,91,0.2373
30,52,69,0.1026
30,86,198,0.0811
30,96,58,0.0724
30,96,109,0.0661
30,97,199,0.1024
30,101,131,0.0636
30,103,81,0.3118
30,103,198,0.2927
30,106,190,0.2799
30,107,116,0.0341
30,118,173,0.0393
30,122,179,0.2547
30,124,174,0.0533
30,138,50,0.045
30,140,66,0.2514
30,157,40,0.2114
30,157,164,0.0473
30,159,159,0.2218
30,164,197,0.0896
30,166,83,0.0925
30,169,44,0.0802
30,173,13,0.2579
30,173,65,0.2268
30,173,117,0.2556
30,183,169,0.2816
30,187,153,0.2281
30,199,132,0.2339
31,0,195,0.07
31,11,154,0.1018
31,25,118,0.0944
31,27,17,0.0835
31,37,87,0.0803
31,48,163,0.2631
31,50,6,0.2361
31,53,16,0.0536
31,56,115,0.2262
31,66,163,0.0544
31,67,50,0.2388
31,68,82,0.0629
31,97,66,0.0513
31,108,41,0.2378
31,112,151,0.2172
31,122,162,0.0746
31,124,34,0.0926
31,125,51,0.236
31,145,116,0.2577
31,146,173,0.2155
31,147,95,0.0862
31,150,103,0.2508
31,154,12,0.2363
31,154,137,0.0702
31,156,168,0.0791
31,166,148,0.0785
31,170,195,0.2682
31,171,195,0.0684
31,180,10,0.0732
31,186,105,0.0432
31,186,112,0.0526
31,192,54,0.0926
31,196,40,0.2598
31,199,155,0.2665
32,0,187,0.0585
32,6,84,0.0647
32,13,141,0.0536
32,17,5,0.2522
32,18,196,0.2444
32,21,22,0.2419
32,30,64,0.0638
32,32,44,0.0606
32,49,142,0.0425
32,51,154,0.0709
32,58,121,0.2118
32,63,21,0.2491
32,74,13,0.241
32,77,95,0.108
32,82,39,0.22
32,85,15,0.2267
32,88,157,0.0996
32,89,18,0.2841
32,101,95,0.2123
32,115,99,0.2667
32,120,144,0.0887
